Designator,Layer,Mid X,Mid Y,Rotation
C1,BOT,112.903,68.453,0
C10,BOT,102.35,63.5,270
C100,TOP,86.527,43.7515,90
C101,TOP,56.645,74.549,270
C102,TOP,60.1587,74.549,270
C103,TOP,62.103,62.611,0
C104,TOP,66.929,58.039,0
C105,TOP,56.642,90.805,270
C106,TOP,53.975,91.567,180
C107,TOP,71.247,88.138,90
C108,TOP,119.761,124.46,0
C109,TOP,122.047,120.777,90
C11,BOT,94.476,63.411,90
C110,TOP,121.793,126.238,180
C111,TOP,126.111,126.619,90
C112,TOP,152.273,127,0
C113,TOP,152.273,121.285,0
C114,TOP,152.273,115.57,0
C12,TOP,92.151,62.903,90
C13,TOP,95.7677,62.903,90
C14,TOP,103.001,62.903,90
C15,TOP,84.963,64.349,90
C16,TOP,87.884,74.958,270
C17,BOT,100.231,76.296,270
C18,BOT,97.31,76.296,270
C19,BOT,105.145,76.2,90
C2,BOT,112.903,63.5,0
C20,BOT,102.859,76.2,270
C21,TOP,104.653,76.265,270
C22,TOP,101.0493,76.265,270
C23,TOP,97.4457,76.265,270
C24,TOP,93.842,76.265,270
C25,TOP,96.492,83.312,180
C26,TOP,98.425,88.646,180
C27,TOP,87.884,83.312,180
C28,TOP,79.248,89.916,270
C29,TOP,139.29,96.93,180
C3,TOP,92.71,88.011,0
C30,TOP,134.591,93.882,270
C31,TOP,94.107,97.79,0
C32,TOP,106.807,114.554,0
C33,TOP,122.711,43.024,0
C34,TOP,128.045,38.706,0
C35,TOP,81.28,96.139,180
C36,TOP,85.979,122.428,270
C37,TOP,98.552,93.218,180
C38,TOP,79.502,93.091,270
C39,TOP,113.538,122.301,180
C4,TOP,62.766,82.169,0
C40,TOP,46.609,112.649,180
C41,TOP,46.609,115.705,180
C42,TOP,46.736,118.245,0
C43,TOP,46.609,109.22,180
C44,BOT,57.912,118.11,90
C45,TOP,61.595,114.808,90
C46,TOP,81.153,106.934,0
C47,TOP,65.659,114.808,90
C48,TOP,69.723,114.808,90
C49,TOP,80.899,110.363,90
C5,BOT,97.397,63.411,90
C50,TOP,83.82,108.204,270
C51,TOP,83.82,102.489,90
C52,TOP,74.803,105.283,90
C53,TOP,41.91,121.666,90
C54,TOP,88.138,120.142,180
C55,TOP,91.694,124.587,90
C56,TOP,103.4136,118.2567,270
C57,TOP,102.7152,124.4133,180
C58,BOT,106.68,116.586,180
C59,TOP,88.265,108.966,270
C6,TOP,99.3843,62.903,90
C60,TOP,99.695,112.522,270
C61,TOP,98.846,114.8325,180
C62,TOP,92.329,127.127,180
C63,TOP,101.6,115.316,90
C64,TOP,33.8213,108.3926,90
C65,TOP,102.235,105.41,180
C66,TOP,109.53,128.237,180
C67,TOP,77.724,115.062,180
C68,TOP,110.236,122.301,180
C69,TOP,87.757,93.98,90
C7,BOT,100.064,63.469,90
C70,TOP,114.808,117.348,90
C71,TOP,113.411,110.744,180
C72,BOT,129.159,124.206,270
C73,TOP,68.302,109.601,0
C74,TOP,103.124,115.316,90
C75,TOP,30.226,106.934,90
C76,TOP,65.532,101.346,0
C77,TOP,70.104,91.186,270
C78,TOP,67.6594,94.3158,0
C79,TOP,73.152,73.886,270
C8,TOP,86.527,54.356,90
C80,BOT,35.179,45.212,90
C81,BOT,38.481,53.721,270
C82,BOT,32.131,45.212,90
C83,TOP,22.82,40.132,270
C84,TOP,28.702,45.212,90
C85,TOP,38.608,45.212,90
C86,BOT,38.481,45.212,90
C87,BOT,28.829,45.085,270
C88,TOP,24.17,29.972,0
C89,TOP,13.422,44.264,90
C9,TOP,75.946,54.316,90
C90,TOP,35.306,45.212,90
C91,TOP,32.004,45.212,90
C92,BOT,66.813,74.295,270
C93,BOT,60.844,74.295,270
C94,TOP,71.275,82.169,0
