Altium Designer Pick and Place Locations
C:\Users\zhmakin\AppData\Local\TempReleases\Snapshot\1\Assembly\Pick Place\Pick Place for PS_800W_2860_PCB_v1.txt

========================================================================================================================
File Design Information:

Date:       23/03/23
Time:       17:19
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Layer       Center-X(mm) Center-Y(mm) Rotation Description                                                                                             
PCB4       BottomLayer 143.6370     27.0510      90       "Fiducial mark 1.5mm"                                                                                   
PCB3       BottomLayer 22.4790      131.5720     90       "Fiducial mark 1.5mm"                                                                                   
PCB1       TopLayer    158.3690     37.4650      90       "Fiducial mark 1.5mm"                                                                                   
PCB2       TopLayer    23.3680      134.2390     90       "Fiducial mark 1.5mm"                                                                                   
TP13       TopLayer    72.0090      90.5510      90       "1mm Dia. Test Point (Standard No BOM) by MYZ Rev.3"                                                    
L7         TopLayer    74.4410      40.5280      270      "WE-HCM SMT High Current Flat Wire Inductor"                                                            
C79        TopLayer    73.1520      73.8860      270      "Aluminum Electrolytic Capacitor, Polarized, Aluminum (wet), 25V, 20% +Tol, 20% -Tol, 560uF"            
C4         TopLayer    62.7660      82.1690      0        "Aluminum Electrolytic Capacitor, Polarized, Aluminum (wet), 25V, 20% +Tol, 20% -Tol, 560uF"            
TP16       TopLayer    89.9160      88.0110      90       "1mm Dia. Test Point (Standard No BOM) by MYZ Rev.3"                                                    
TP15       TopLayer    93.4720      99.4410      90       "1mm Dia. Test Point (Standard No BOM) by MYZ Rev.3"                                                    
TP14       TopLayer    73.0250      87.5030      270      "1mm Dia. Test Point (Standard No BOM) by MYZ Rev.3"                                                    
TP11       TopLayer    55.1330      90.0476      90       "1mm Dia. Test Point (Standard No BOM) by MYZ Rev.3"                                                    
R3         TopLayer    87.7570      89.5350      270      "Resistor Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/∞C SMD Punched Paper Tape and Reel"                  
C3         TopLayer    92.7100      88.0110      0        "C Series 0603 0.1 uF 50 V ±10% Tolerance X7R SMT Multilayer Ceramic Capacitor"                         
X5         TopLayer    19.9700      94.0000      270      "Pcb Terminal Blocks Rising Clamp"                                                                      
X4         TopLayer    19.9700      114.3200     270      "Pcb Terminal Blocks Rising Clamp"                                                                      
U17        TopLayer    111.3790     117.2591     90       "Dual, 5.5-V, 1-MHz, 3-mV offset voltage operational amplifier 8-SOIC -40 to 125"                       
U16        TopLayer    124.9680     121.4120     270      "MAX17692A 4.2V to 60V, No-Opto Isolated Flyback Converter Evaluation Kit"                              
U15        TopLayer    52.3240      88.9000      180      "2.7 to 120V, 1.1MHz, ultra-precise current sense amplifier in small (SC-70) package 5-SC70 -40 to 125" 
U10        TopLayer    62.9920      57.1589      0        "Gate Driver IC, 2 Ch, 10V-20V, SOIC Rohs Compliant: Yes"                                               
U5         TopLayer    67.4370      91.9480      180      "2.7 to 120V, 1.1MHz, ultra-precise current sense amplifier in small (SC-70) package 5-SC70 -40 to 125" 
U2         TopLayer    36.2070      108.4570     270      "Enhanced low IQ ideal diode controller 8-SOT-23-THIN -50 to 125"                                       
TP12       TopLayer    41.0210      56.2610      90       "1mm Dia. Test Point (Standard No BOM) by MYZ Rev.3"                                                    
TP10       TopLayer    49.5300      88.2650      180      "1mm Dia. Test Point (Standard No BOM) by MYZ Rev.3"                                                    
T2         TopLayer    135.7630     121.2850     90       "Ferrite Core EF Core 16mm 4.7mm 8.2mm Common Mode Chokes/Broadband Applications"                       
R83        BottomLayer 129.1590     118.3654     90       "Res Thin Film 0204(1406) 330 Ohm 1% 0.25W(1/4W) ±50ppm/C Melf Pad SMD Automotive Medical T/R"          
R82        TopLayer    150.2410     114.8080     90       "Resistor Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/∞C SMD Punched Paper Tape and Reel"                  
R81        TopLayer    150.2410     120.5611     90       "Resistor Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/∞C SMD Punched Paper Tape and Reel"                  
R80        TopLayer    150.2410     126.4920     90       "Resistor Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/∞C SMD Punched Paper Tape and Reel"                  
R79        TopLayer    95.4920      130.9840     90       "Resistor Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/∞C SMD Punched Paper Tape and Reel"                  
R78        TopLayer    93.8410      130.9840     270      "Resistor Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/∞C SMD Punched Paper Tape and Reel"                  
R77        TopLayer    116.4590     117.3480     270      "Res Thick Film 0805 1K Ohm 0.1% 0.25W(1/4W) ±50ppm/C Pad SMD"                                          
R76        TopLayer    113.4110     112.2680     0        "Res Thick Film 0603 100K Ohm 1% 1/10W ±100ppm/∞C Molded SMD Paper T/R"                                 
R75        TopLayer    110.1090     112.2680     0        "AC Series 0603 100 Ohm ±1 % 0.1 W ±100 ppm/∞C Surface Mount Thick Film Resistor"                       
R74        TopLayer    116.4590     112.2680     90       "RES SMD 10K OHM 0.5% 1/4W 1206"                                                                        
R73        TopLayer    147.8280     116.9670     180      "Res Thick Film 1.6 x 0.8 mm 1 Ohm 1% 0.1W(1/10W) 200ppm/ C Molded SMD Paper T/R"                       
R72        TopLayer    147.8280     122.8090     180      "Res Thick Film 1.6 x 0.8 mm 1 Ohm 1% 0.1W(1/10W) 200ppm/ C Molded SMD Paper T/R"                       
R71        TopLayer    123.1900     116.9670     180      "Res Thick Film 0603 15.4K Ohm 1% 0.1W(1/10W) ±100ppm/C Molded SMD Automotive Punched Paper T/R"        
R70        TopLayer    123.0630     115.4430     0        "Res Thick Film 0603 100K Ohm 1% 1/10W ±100ppm/∞C Molded SMD Paper T/R"                                 
R69        TopLayer    122.0470     123.6980     90       "Thick Film Resistors - SMD 1/10watt 649Kohms 1%"                                                       
R68        TopLayer    119.7610     123.0630     0        "Thick Film Resistors - SMD 1/10watts 59Kohms 1%"                                                       
R67        TopLayer    122.8013     118.3595     0        "Resistor Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/∞C SMD Punched Paper Tape and Reel"                  
R66        TopLayer    125.5203     117.2865     90       "Thick Film Resistors - SMD 1/10watt 124Kohms 1%"                                                       
